Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
1180147304,SOUTHWARK,8,533218,176716,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180147483,SOUTHWARK,8,532500,179480,1,3 Pedestrian,1 Male,16-24,21,1,3 Slight,09 In Road - Not Crossing,7 In Rd Facing Traffic,1 Pedestrian, 
1180147511,SOUTHWARK,8,533780,175310,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180147533,SOUTHWARK,8,533500,175350,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180147565,SOUTHWARK,8,532070,179710,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180147601,SOUTHWARK,8,534180,176730,1,1 Driver/Rider,1 Male,25-59,39,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180147714,SOUTHWARK,8,534360,173340,1,3 Pedestrian,1 Male,0-15,14,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
1180147718,SOUTHWARK,8,535050,175510,1,2 Passenger,2 Female,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1180147762,SOUTHWARK,8,533710,174640,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180147763,SOUTHWARK,8,535320,173980,1,1 Driver/Rider,1 Male,60+,64,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180147815,SOUTHWARK,8,534400,175490,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180147820,SOUTHWARK,8,534090,176680,1,3 Pedestrian,1 Male,25-59,28,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180147867,SOUTHWARK,8,534260,176110,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180147939,SOUTHWARK,8,534490,176770,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180147983,SOUTHWARK,8,535170,176680,1,1 Driver/Rider,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148033,SOUTHWARK,8,532200,178500,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148078,SOUTHWARK,8,531740,178530,1,1 Driver/Rider,1 Male,25-59,47,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148106,SOUTHWARK,8,534996,177440,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180148137,SOUTHWARK,8,532400,180030,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148200,SOUTHWARK,8,531720,179370,1,2 Passenger,2 Female,25-59,59,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180148285,SOUTHWARK,8,535250,176080,1,2 Passenger,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180148337,SOUTHWARK,8,531980,179150,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180148421,SOUTHWARK,8,532590,176190,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148520,SOUTHWARK,8,532340,178250,1,3 Pedestrian,2 Female,25-59,52,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1180148545,SOUTHWARK,8,533800,178200,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1180148616,SOUTHWARK,8,534300,178880,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148634,SOUTHWARK,8,535224,177853,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148701,SOUTHWARK,8,532430,177390,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180148723,SOUTHWARK,8,533460,179370,1,3 Pedestrian,2 Female,16-24,18,1,3 Slight,01 Crossing Road On Ped Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
1180148750,SOUTHWARK,8,535230,177450,1,3 Pedestrian,2 Female,0-15,14,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180148786,SOUTHWARK,8,533820,179170,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180148853,SOUTHWARK,8,532060,179710,1,1 Driver/Rider,2 Female,25-59,34,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149069,SOUTHWARK,8,532140,180180,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180149112,SOUTHWARK,8,532290,176800,1,1 Driver/Rider,1 Male,60+,67,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149146,SOUTHWARK,8,534260,176560,1,3 Pedestrian,2 Female,25-59,59,1,2 Serious,09 In Road - Not Crossing,9 Unknown Or Other,1 Pedestrian, 
1180149351,SOUTHWARK,8,534390,177980,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1180149402,SOUTHWARK,8,535260,175040,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149577,SOUTHWARK,8,532650,179400,1,2 Passenger,2 Female,60+,69,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1180149732,SOUTHWARK,8,532438,179771,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149754,SOUTHWARK,8,534450,179450,1,1 Driver/Rider,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180149764,SOUTHWARK,8,535830,178800,1,1 Driver/Rider,1 Male,60+,64,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149851,SOUTHWARK,8,533040,173630,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180149851,SOUTHWARK,8,533040,173630,2,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180149865,SOUTHWARK,8,532490,179060,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180149865,SOUTHWARK,8,532490,179060,2,3 Pedestrian,2 Female,16-24,17,1,3 Slight,01 Crossing Road On Ped Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
1180149881,SOUTHWARK,8,535060,179610,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149885,SOUTHWARK,8,535430,179890,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180149908,SOUTHWARK,8,534319,179443,1,1 Driver/Rider,1 Male,25-59,28,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180149969,SOUTHWARK,8,533190,175730,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180150141,SOUTHWARK,8,533570,178370,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180150432,SOUTHWARK,8,532530,176590,1,3 Pedestrian,2 Female,25-59,43,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
1180150501,SOUTHWARK,8,532560,178960,1,1 Driver/Rider,1 Male,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180150502,SOUTHWARK,8,535050,179600,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,10 Unknown,3 From Drivers O/Side,1 Pedestrian, 
1180150694,SOUTHWARK,8,533470,179690,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180150705,SOUTHWARK,8,534450,177300,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180150766,SOUTHWARK,8,532900,172130,1,1 Driver/Rider,2 Female,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180150838,SOUTHWARK,8,535460,179490,1,3 Pedestrian,2 Female,25-59,44,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1180151164,SOUTHWARK,8,532030,179290,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180151213,SOUTHWARK,8,533640,178750,1,1 Driver/Rider,2 Female,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180151359,SOUTHWARK,8,532850,180110,1,3 Pedestrian,2 Female,60+,65,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180151457,SOUTHWARK,8,533743,178450,1,3 Pedestrian,2 Female,25-59,39,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
1180151550,SOUTHWARK,8,534560,177760,1,3 Pedestrian,1 Male,25-59,28,1,3 Slight,04 Crossing Road Within 50m Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
1180151713,SOUTHWARK,8,534600,177730,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180151925,SOUTHWARK,8,532360,179480,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180151948,SOUTHWARK,8,534740,176780,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180151988,SOUTHWARK,8,533390,172730,1,1 Driver/Rider,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180152209,SOUTHWARK,8,533809,178120,1,2 Passenger,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180152225,SOUTHWARK,8,533730,174680,2,2 Passenger,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180152225,SOUTHWARK,8,533730,174680,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180152249,SOUTHWARK,8,531900,179050,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180152256,SOUTHWARK,8,533390,179390,1,1 Driver/Rider,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180152487,SOUTHWARK,8,535100,176720,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180152548,SOUTHWARK,8,532260,176890,1,1 Driver/Rider,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1180152612,SOUTHWARK,8,534310,176760,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180152683,SOUTHWARK,8,531970,179120,1,3 Pedestrian,1 Male,25-59,27,1,3 Slight,01 Crossing Road On Ped Xing,2 From Drivers N/Side Msk,1 Pedestrian, 
1180153037,SOUTHWARK,8,534267,176767,1,3 Pedestrian,1 Male,60+,62,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180153067,SOUTHWARK,8,534800,177540,1,3 Pedestrian,1 Male,25-59,59,1,3 Slight,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
1180153369,SOUTHWARK,8,533500,175620,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180153404,SOUTHWARK,8,532100,179980,1,3 Pedestrian,1 Male,25-59,30,1,2 Serious,05 Crossing Road (Not On Xing),9 Unknown Or Other,1 Pedestrian, 
1180153430,SOUTHWARK,8,535200,178100,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180153524,SOUTHWARK,8,531930,179110,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180153712,SOUTHWARK,8,533493,179789,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180153807,SOUTHWARK,8,535130,177340,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1180153837,SOUTHWARK,8,532690,180190,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180153850,SOUTHWARK,8,532790,176710,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180153925,SOUTHWARK,8,531890,179070,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180154004,SOUTHWARK,8,533400,177090,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180154158,SOUTHWARK,8,534640,176250,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180154269,SOUTHWARK,8,531990,179510,1,1 Driver/Rider,1 Male,25-59,47,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
1180154357,SOUTHWARK,8,531670,179180,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1180154374,SOUTHWARK,8,532940,172630,1,1 Driver/Rider,2 Female,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154538,SOUTHWARK,8,532440,178000,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180154551,SOUTHWARK,8,531500,177970,1,1 Driver/Rider,1 Male,25-59,37,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180154590,SOUTHWARK,8,534355,179257,1,1 Driver/Rider,2 Female,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154590,SOUTHWARK,8,534355,179257,2,2 Passenger,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154663,SOUTHWARK,8,533656,178320,1,1 Driver/Rider,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154669,SOUTHWARK,8,532140,178360,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154723,SOUTHWARK,8,534240,176760,2,2 Passenger,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154723,SOUTHWARK,8,534240,176760,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180154755,SOUTHWARK,8,532530,176700,1,3 Pedestrian,1 Male,25-59,47,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
1180154759,SOUTHWARK,8,534550,179480,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180154770,SOUTHWARK,8,532810,180290,1,3 Pedestrian,1 Male,16-24,21,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
1180154805,SOUTHWARK,8,532230,178500,1,3 Pedestrian,1 Male,0-15,12,1,2 Serious,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
1180155009,SOUTHWARK,8,533040,177870,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180155028,SOUTHWARK,8,532810,177890,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180155348,SOUTHWARK,8,534040,176700,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180156047,SOUTHWARK,8,532120,178350,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180156070,SOUTHWARK,8,533210,177970,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
1180156112,SOUTHWARK,8,532340,180520,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180159296,SOUTHWARK,8,534300,179440,1,3 Pedestrian,2 Female,60+,69,1,2 Serious,01 Crossing Road On Ped Xing,9 Unknown Or Other,1 Pedestrian, 
1180160595,SOUTHWARK,8,531860,180080,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180160595,SOUTHWARK,8,531860,180080,2,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180173858,SOUTHWARK,8,532440,179750,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180081002,LAMBETH,9,529820,175530,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180081035,LAMBETH,9,530600,179650,1,3 Pedestrian,2 Female,60+,62,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180081072,LAMBETH,9,531200,175300,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180081184,LAMBETH,9,531120,175460,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180081188,LAMBETH,9,529930,173810,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180081188,LAMBETH,9,529930,173810,2,3 Pedestrian,1 Male,16-24,23,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
1180081191,LAMBETH,9,530490,178740,1,3 Pedestrian,2 Female,25-59,47,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
1180081213,LAMBETH,9,530970,172590,1,1 Driver/Rider,1 Male,16-24,19,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
1180081301,LAMBETH,9,531040,175450,1,3 Pedestrian,1 Male,16-24,23,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian, 
1180081356,LAMBETH,9,530160,172090,1,3 Pedestrian,1 Male,0-15,14,1,3 Slight,08 In Centre Of Carriageway,3 From Drivers O/Side,1 Pedestrian, 
1180081596,LAMBETH,9,529830,176750,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180081622,LAMBETH,9,528920,176090,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180081713,LAMBETH,9,531060,175520,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
1180081716,LAMBETH,9,528566,175772,1,3 Pedestrian,1 Male,60+,77,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
1180081757,LAMBETH,9,532040,176230,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180081859,LAMBETH,9,529910,175580,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180081886,LAMBETH,9,531110,175710,1,3 Pedestrian,1 Male,16-24,16,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180081980,LAMBETH,9,531170,171570,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180081984,LAMBETH,9,530050,175070,1,2 Passenger,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180081984,LAMBETH,9,530050,175070,2,2 Passenger,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180081987,LAMBETH,9,530870,176520,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180081988,LAMBETH,9,531960,175190,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082027,LAMBETH,9,530300,175070,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082040,LAMBETH,9,530430,170280,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082040,LAMBETH,9,530430,170280,2,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082342,LAMBETH,9,531170,177560,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180082345,LAMBETH,9,530400,172050,1,3 Pedestrian,2 Female,25-59,47,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180082396,LAMBETH,9,531070,180150,1,2 Passenger,2 Female,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082406,LAMBETH,9,531350,177900,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180082494,LAMBETH,9,529574,175371,2,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180082494,LAMBETH,9,529574,175371,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082524,LAMBETH,9,530520,173980,1,2 Passenger,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082524,LAMBETH,9,530520,173980,2,2 Passenger,1 Male,0-15,2,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082524,LAMBETH,9,530520,173980,4,2 Passenger,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082524,LAMBETH,9,530520,173980,3,2 Passenger,2 Female,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082525,LAMBETH,9,533250,170920,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180082630,LAMBETH,9,530690,176060,1,3 Pedestrian,2 Female,60+,62,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180082659,LAMBETH,9,531090,174810,1,2 Passenger,2 Female,60+,69,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082677,LAMBETH,9,531790,177190,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180082736,LAMBETH,9,531120,175770,1,2 Passenger,1 Male,0-15,4,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
1180082789,LAMBETH,9,532040,176250,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180082797,LAMBETH,9,531790,170980,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180083166,LAMBETH,9,530760,179950,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180083234,LAMBETH,9,531190,177000,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180083261,LAMBETH,9,530160,172050,1,1 Driver/Rider,1 Male,25-59,45,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180083264,LAMBETH,9,530540,171040,1,1 Driver/Rider,1 Male,25-59,29,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180083265,LAMBETH,9,530800,179550,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180083333,LAMBETH,9,531190,176330,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180083337,LAMBETH,9,531150,177580,1,3 Pedestrian,2 Female,25-59,47,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
1180083362,LAMBETH,9,532020,175890,1,1 Driver/Rider,1 Male,16-24,23,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
1180083416,LAMBETH,9,531750,173030,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180083455,LAMBETH,9,531930,172220,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180083543,LAMBETH,9,531100,175300,1,3 Pedestrian,1 Male,25-59,37,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
1180083698,LAMBETH,9,530560,171070,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
1180083717,LAMBETH,9,531170,177580,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180083866,LAMBETH,9,529150,173990,1,1 Driver/Rider,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180084081,LAMBETH,9,530120,175970,1,1 Driver/Rider,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
1180084088,LAMBETH,9,528680,175240,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
